,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot,price,Cluster
475,2,1.0,910,9753,1.0,0,3,0,1947,0,98032,47.38972205,-122.2364037,1160,7405,85000,Cluster 0
10379,2,1.0,790,2640,1.0,0,3,0,1973,0,98034,47.73508616,-122.1777532,1310,2064,90000,Cluster 1
6645,3,1.0,840,9480,1.0,0,3,0,1960,0,98023,47.32771388,-122.3411117,840,9420,86500,Cluster 0
8026,2,1.0,760,5500,1.5,0,3,0,1947,0,98168,47.5044873,-122.3294493,1040,5515,92000,Cluster 1
1699,3,1.0,900,4750,1.0,0,4,0,1969,0,98023,47.30256906,-122.3629544,900,3404,89000,Cluster 0
5512,4,1.0,1120,2685,1.0,0,3,260,1939,0,98055,47.49042234,-122.2031159,1120,4838,100000,Cluster 1
152,2,1.0,960,7000,1.0,0,3,0,1918,0,98198,47.38638585,-122.3072103,1850,8120,95000,Cluster 1
7169,2,1.0,800,8550,1.0,0,3,0,1947,0,98198,47.40753645,-122.2939535,1490,8550,95000,Cluster 1
2932,2,1.0,930,7623,1.0,0,2,0,1942,0,98166,47.46695713,-122.3491625,1300,7641,100000,Cluster 1
13585,2,1.0,820,4320,1.0,0,3,0,1937,0,98106,47.51402393,-122.3589392,780,7424,102500,Cluster 1
10915,2,1.0,1170,8254,1.0,0,2,0,1949,0,98146,47.49699477,-122.3459735,1820,8922,104950,Cluster 1
11657,3,1.0,1170,11000,1.0,0,2,0,1980,0,98019,47.73459039,-121.9827404,1590,10894,119500,Cluster 0
11733,2,1.0,800,10625,1.0,0,3,0,1942,0,98168,47.49598632,-122.3170311,1130,10625,109500,Cluster 1
7179,2,1.0,800,15000,1.0,0,3,0,1927,0,98168,47.49317591,-122.3156553,1170,15000,110000,Cluster 0
7374,2,1.0,840,6654,1.0,0,3,0,1951,0,98133,47.73186546,-122.334598,1350,5831,130000,Cluster 1
12185,3,1.0,1080,6250,1.0,0,2,0,1950,0,98168,47.50449008,-122.3301162,1070,6250,115000,Cluster 1
12456,3,1.0,1110,7520,1.0,0,4,0,1960,0,98033,47.68301912,-122.1758515,1440,8400,130000,Cluster 0
8821,2,1.0,600,6120,1.0,0,3,0,1943,0,98168,47.49967169,-122.3173785,1060,6120,110000,Cluster 1
3156,2,1.0,790,7252,1.0,0,3,0,1930,0,98146,47.50478704,-122.3645653,1260,11470,115000,Cluster 1
2415,2,1.0,680,8064,1.0,0,3,0,1941,0,98188,47.4690416,-122.297595,1340,10800,110700,Cluster 1
3874,2,1.0,740,6250,1.0,0,3,0,1942,0,98146,47.50601759,-122.334763,980,6957,114975,Cluster 1
3981,2,1.0,730,5200,1.0,0,3,0,1928,0,98146,47.49425307,-122.3372363,1220,6240,114000,Cluster 1
4599,3,1.0,880,18109,1.0,0,4,0,1970,0,98042,47.36339962,-122.1009332,940,11193,105000,Cluster 0
13564,2,1.0,940,8384,1.0,0,3,0,1947,0,98146,47.50648081,-122.3635492,1290,8384,121800,Cluster 1
11480,3,1.0,1080,6250,1.0,0,2,0,1950,0,98168,47.50449008,-122.3301162,1070,6250,124000,Cluster 1
324,2,1.0,790,7153,1.0,0,4,0,1944,0,98168,47.48687493,-122.3243296,810,7128,118125,Cluster 1
2309,5,2.0,1430,5600,1.5,0,3,0,1947,0,98118,47.51921088,-122.2657726,1860,5980,133000,Cluster 1
11085,2,1.0,1050,6600,1.5,0,3,0,1964,0,98168,47.48284324,-122.3242737,1330,6600,123000,Cluster 1
2646,2,1.0,740,6840,1.0,0,3,0,1942,0,98126,47.51682447,-122.3734951,740,6840,122000,Cluster 1
6965,2,1.0,1140,10152,1.0,0,3,380,1942,0,98155,47.73689337,-122.3212696,1340,10141,153000,Cluster 1
8330,2,1.0,700,3180,1.0,0,3,220,1951,0,98178,47.49761608,-122.2620285,1760,6360,119900,Cluster 1
1277,4,1.0,1460,18599,1.5,0,3,0,1940,0,98146,47.5006261,-122.3507135,1320,8100,135000,Cluster 0
454,2,1.0,770,17334,1.0,0,3,0,1978,0,98001,47.29971948,-122.26913,1480,17334,100000,Cluster 0
4430,2,1.0,800,8125,1.0,0,3,0,1964,0,98033,47.68363205,-122.17405,2390,8125,145000,Cluster 0
7474,2,1.0,810,8382,1.0,0,4,0,1942,0,98146,47.50334078,-122.3575745,1040,8382,125000,Cluster 1
8190,3,1.0,840,8400,1.0,0,3,0,1959,0,98023,47.32772525,-122.3432307,840,9450,105000,Cluster 0
4078,2,1.0,760,5280,1.0,0,3,0,1946,0,98168,47.48297373,-122.3302853,1710,6594,122000,Cluster 1
5311,3,1.0,1270,8508,1.0,0,4,620,1942,0,98168,47.49605511,-122.3217761,1200,9415,134000,Cluster 1
11992,3,1.0,1150,8924,1.0,0,3,0,1943,0,98030,47.38654134,-122.2167071,1492,8924,120000,Cluster 0
14044,2,1.0,780,5300,1.0,0,3,0,1941,0,98146,47.51300956,-122.354342,780,5300,130000,Cluster 1
2601,3,1.75,1160,5082,1.0,0,3,580,1942,0,98178,47.50296415,-122.2621761,1730,6000,137900,Cluster 1
1287,2,1.0,600,1500,1.0,0,4,0,1900,0,98027,47.52887322,-122.0330908,1130,6000,130000,Cluster 0
14114,3,0.75,850,8573,1.0,0,3,250,1945,0,98146,47.50297861,-122.3561172,850,8382,132500,Cluster 1
14551,4,0.75,1440,13300,1.0,0,3,0,1948,0,98166,47.47606129,-122.3373387,1460,11100,142500,Cluster 1
1516,2,1.0,1060,6000,1.0,0,4,0,1908,0,98002,47.30660217,-122.222607,940,6000,111300,Cluster 0
475,2,1.0,910,9753,1.0,0,3,0,1947,0,98032,47.38972205,-122.2364037,1160,7405,85000,Cluster 0
10379,2,1.0,790,2640,1.0,0,3,0,1973,0,98034,47.73508616,-122.1777532,1310,2064,90000,Cluster 1
6645,3,1.0,840,9480,1.0,0,3,0,1960,0,98023,47.32771388,-122.3411117,840,9420,86500,Cluster 0
8026,2,1.0,760,5500,1.5,0,3,0,1947,0,98168,47.5044873,-122.3294493,1040,5515,92000,Cluster 1
1699,3,1.0,900,4750,1.0,0,4,0,1969,0,98023,47.30256906,-122.3629544,900,3404,89000,Cluster 0
5512,4,1.0,1120,2685,1.0,0,3,260,1939,0,98055,47.49042234,-122.2031159,1120,4838,100000,Cluster 1
152,2,1.0,960,7000,1.0,0,3,0,1918,0,98198,47.38638585,-122.3072103,1850,8120,95000,Cluster 1
7169,2,1.0,800,8550,1.0,0,3,0,1947,0,98198,47.40753645,-122.2939535,1490,8550,95000,Cluster 1
2932,2,1.0,930,7623,1.0,0,2,0,1942,0,98166,47.46695713,-122.3491625,1300,7641,100000,Cluster 1
13585,2,1.0,820,4320,1.0,0,3,0,1937,0,98106,47.51402393,-122.3589392,780,7424,102500,Cluster 1
10915,2,1.0,1170,8254,1.0,0,2,0,1949,0,98146,47.49699477,-122.3459735,1820,8922,104950,Cluster 1
11657,3,1.0,1170,11000,1.0,0,2,0,1980,0,98019,47.73459039,-121.9827404,1590,10894,119500,Cluster 0
11733,2,1.0,800,10625,1.0,0,3,0,1942,0,98168,47.49598632,-122.3170311,1130,10625,109500,Cluster 1
7179,2,1.0,800,15000,1.0,0,3,0,1927,0,98168,47.49317591,-122.3156553,1170,15000,110000,Cluster 0
7374,2,1.0,840,6654,1.0,0,3,0,1951,0,98133,47.73186546,-122.334598,1350,5831,130000,Cluster 1
12185,3,1.0,1080,6250,1.0,0,2,0,1950,0,98168,47.50449008,-122.3301162,1070,6250,115000,Cluster 1
12456,3,1.0,1110,7520,1.0,0,4,0,1960,0,98033,47.68301912,-122.1758515,1440,8400,130000,Cluster 0
8821,2,1.0,600,6120,1.0,0,3,0,1943,0,98168,47.49967169,-122.3173785,1060,6120,110000,Cluster 1
3156,2,1.0,790,7252,1.0,0,3,0,1930,0,98146,47.50478704,-122.3645653,1260,11470,115000,Cluster 1
2415,2,1.0,680,8064,1.0,0,3,0,1941,0,98188,47.4690416,-122.297595,1340,10800,110700,Cluster 1
3874,2,1.0,740,6250,1.0,0,3,0,1942,0,98146,47.50601759,-122.334763,980,6957,114975,Cluster 1
3981,2,1.0,730,5200,1.0,0,3,0,1928,0,98146,47.49425307,-122.3372363,1220,6240,114000,Cluster 1
4599,3,1.0,880,18109,1.0,0,4,0,1970,0,98042,47.36339962,-122.1009332,940,11193,105000,Cluster 0
13564,2,1.0,940,8384,1.0,0,3,0,1947,0,98146,47.50648081,-122.3635492,1290,8384,121800,Cluster 1
11480,3,1.0,1080,6250,1.0,0,2,0,1950,0,98168,47.50449008,-122.3301162,1070,6250,124000,Cluster 1
324,2,1.0,790,7153,1.0,0,4,0,1944,0,98168,47.48687493,-122.3243296,810,7128,118125,Cluster 1
