,index,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot,price
3161,3161,3,3.5,2690,104544,2.0,0,3,0,1948,1990,98072,47.7716557,-122.1124265,2300,81698,775000
14470,14470,3,1.5,1330,7600,1.0,0,4,0,1968,0,98023,47.31027695,-122.3659691,1500,7776,218000
1173,1173,3,1.0,1230,6000,1.0,0,4,450,1937,0,98115,47.68386297,-122.2813277,1570,5000,433500
6747,6747,4,3.5,2770,8049,2.0,0,3,0,2002,0,98074,47.646947,-122.0805053,3410,7447,820000
10675,10675,5,2.75,2540,8250,1.0,0,4,1100,1953,0,98040,47.58753223,-122.2400634,2540,11000,760250
8528,8528,3,1.5,2020,11358,1.0,0,4,830,1956,0,98033,47.6641163,-122.1852036,2370,9520,465000
511,511,3,2.25,1450,4789,2.0,0,3,0,1985,0,98029,47.56649496,-122.0182697,1560,4490,435500
11346,11346,4,2.5,2200,5893,2.0,0,3,0,2008,0,98042,47.33333688,-122.0551434,2200,5757,280000
5315,5315,3,2.25,1130,4445,1.5,0,4,0,1930,0,98117,47.68446298,-122.3751643,1330,4445,672000
1974,1974,4,1.75,1700,10642,1.0,0,4,850,1954,0,98006,47.56741677,-122.1419287,1610,11200,437000
1915,1915,2,1.0,1700,6718,1.0,0,3,470,1956,0,98198,47.41308249,-122.3309904,2040,7500,340000
16090,16090,3,1.0,1270,6612,1.5,0,3,0,1927,0,98118,47.54332363,-122.2641121,2100,7680,518000
14338,14338,2,1.75,2320,6250,1.0,0,3,920,1948,0,98136,47.5468304,-122.3860978,1420,6250,400950
4458,4458,2,1.0,660,6509,1.0,0,4,0,1952,0,98056,47.49384718,-122.1705485,970,5713,227450
11019,11019,5,3.5,3510,4798,2.0,0,3,810,2008,0,98105,47.66895227,-122.282474,1460,1684,1250000
5888,5888,4,2.5,2290,8796,2.0,0,3,0,1994,0,98198,47.37619324,-122.317551,2130,8796,349900
6857,6857,3,1.75,2920,21375,1.0,0,3,1070,1961,0,98028,47.76661916,-122.2654952,1540,8482,480000
7863,7863,3,1.0,950,13475,1.0,0,3,0,1950,0,98155,47.75427752,-122.3062338,1240,8910,305000
14121,14121,4,4.0,2630,59586,1.0,0,3,1160,1963,0,98055,47.44964505,-122.2086934,2230,5715,631000
4961,4961,3,2.0,2130,5000,1.5,0,5,800,1925,0,98107,47.67459773,-122.3615214,2010,5000,652000
16551,16551,4,1.0,2100,9200,1.0,0,3,1050,1959,0,98168,47.47596471,-122.2917307,1540,10033,211000
14171,14171,4,2.5,2370,6557,2.0,0,3,0,1998,0,98042,47.42303499,-122.1554753,2370,7378,369000
1566,1566,4,1.75,1240,4532,1.5,0,4,0,1944,0,98117,47.68922689,-122.378197,1260,4468,520000
1311,1311,3,1.75,2180,14135,1.0,0,5,880,1947,0,98033,47.67301432,-122.1872182,3540,10318,860000
11579,11579,2,1.0,1250,5208,1.0,0,3,200,1951,0,98002,47.30631996,-122.2191418,1030,5354,150000
629,629,3,1.0,1160,9750,1.0,0,3,0,1967,0,98077,47.74223206,-122.0727867,1160,9650,305000
