,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot,Label
0,0,0.0,844,4269,1.0,0,4,0,1913,0,98001,47.278148,-122.2496968,1380,9600,164034.134714828
1,4,2.75,3120,7898,1.0,1,4,1560,1963,0,98034,47.71654298,-122.2585418,2630,13868,664656.497758955
2,3,1.5,2600,5085,1.0,0,4,1200,1940,0,98126,47.56592191,-122.3759305,1320,4000,538828.1403035531
3,3,2.5,1360,1489,2.0,0,3,0,2007,0,98126,47.54901211,-122.3717663,1360,1688,319923.3677304115
4,3,1.75,1260,11224,1.0,0,5,0,1947,0,98155,47.74436033,-122.3207226,1570,11052,373121.0092927449
5,4,2.5,2340,19850,2.0,0,3,0,1993,0,98155,47.76715051,-122.306381,1930,15439,534800.2990593809
6,4,2.25,2370,9360,2.0,0,4,0,1979,0,98052,47.65178435,-122.1230918,2370,9720,651066.0879255198
7,4,2.5,2980,8770,2.0,0,3,0,1990,0,98075,47.58144365,-122.0286795,2940,9238,719543.7563675854
8,3,1.0,1250,7654,1.0,0,3,250,1952,0,98125,47.72892505,-122.2913017,1310,7350,353693.2628926676
9,3,1.0,1010,5000,1.0,0,3,0,1952,0,98107,47.67496959,-122.3936151,1680,5000,490984.8166186152
10,3,1.0,1090,11292,1.0,0,4,0,1952,0,98133,47.74287902,-122.357986,1570,8198,361305.0974999056
11,4,1.5,2030,3300,1.5,0,4,500,1927,0,98116,47.585499,-122.3832459,2610,5400,732344.6628430814
12,4,2.5,2480,8626,2.0,0,3,0,2001,0,98001,47.31851527,-122.2618408,2990,9033,375827.00559739623
13,3,1.5,1250,7500,1.0,0,3,0,1967,0,98030,47.3718586,-122.2148664,1260,7563,208218.6286513077
14,3,2.5,1530,2913,2.0,0,4,0,1986,0,98033,47.69385226,-122.1835495,1370,3783,442748.7571413353
15,2,1.0,1270,8164,1.0,0,4,0,1941,0,98125,47.71155415,-122.3105792,1580,9095,399043.6754508915
16,4,3.5,4220,8417,3.0,0,3,0,2012,0,98075,47.58687274,-122.054442,3730,8435,899034.2665729548
17,5,3.0,3040,9601,1.0,0,5,1070,1968,0,98040,47.55619335,-122.2203011,3180,12390,1056144.091768724
18,3,2.5,1530,3296,2.0,0,3,0,1998,0,98007,47.61808133,-122.1379342,1530,4099,490744.02118201373
19,3,1.5,1790,6000,1.5,0,4,0,1903,0,98115,47.67543567,-122.3247113,1290,3500,665465.5787716623
20,3,3.5,3080,6495,2.0,0,3,550,1996,2006,98199,47.63210889,-122.3928108,4120,8620,1082651.1256552972
21,3,1.5,1500,8272,1.0,0,4,0,1958,0,98177,47.77412675,-122.3804184,1630,8270,439647.1844512946
